Combo,Workload,Core,CPU,L1D,L2,IPC,L1D Miss%,L2 Miss%,SimTicks
conv + memcopy,conv,0,O3,32kB,256kB,3.7971,0.8825,61.3445,6333910083
conv + memcopy,memcopy,1,O3,32kB,256kB,0.5241,64.6673,92.6307,6333910083
conv + memcopy,conv,0,TIMING,32kB,256kB,0.6057,0.18,54.7748,8426969928
conv + memcopy,memcopy,1,TIMING,32kB,256kB,0.394,1.3378,77.1072,8426969928
matmul + conv,matmul,0,O3,32kB,256kB,3.0595,0.5439,66.007,207467325
matmul + conv,conv,1,O3,32kB,256kB,4.099,0.8701,60.2178,207467325
matmul + conv,matmul,0,TIMING,32kB,256kB,0.6779,0.0512,38.0894,936362034
matmul + conv,conv,1,TIMING,32kB,256kB,0.6091,0.1765,54.3243,936362034
matmul + conv + memcopy,matmul,0,O3,32kB,256kB,2.9573,0.5955,66.7635,6346168479
matmul + conv + memcopy,conv,1,O3,32kB,256kB,3.7026,0.9637,61.532,6346168479
matmul + conv + memcopy,memcopy,2,O3,32kB,256kB,0.5231,64.7127,92.6216,6346168479
matmul + conv + memcopy,matmul,0,TIMING,32kB,256kB,0.6751,0.0526,38.9467,8427251313
matmul + conv + memcopy,conv,1,TIMING,32kB,256kB,0.6035,0.1836,54.6847,8427251313
matmul + conv + memcopy,memcopy,2,TIMING,32kB,256kB,0.3939,1.3379,77.0277,8427251313
matmul + memcopy,matmul,0,O3,32kB,256kB,2.9815,0.6349,65.7126,6335712279
matmul + memcopy,memcopy,1,O3,32kB,256kB,0.524,64.5692,92.6976,6335712279
matmul + memcopy,matmul,0,TIMING,32kB,256kB,0.6764,0.051,38.3344,8425008891
matmul + memcopy,memcopy,1,TIMING,32kB,256kB,0.394,1.3365,77.0745,8425008891
