Workload,CPU,Cores,L1D,L2,IPC,CPI,L1D Miss%,L1I Miss%,L2 Miss%,SimTicks
conv,O3,1,16kB,256kB,4.1898,0.2387,0.8121,2.7625,57.6412,56159451
conv,TIMING,1,16kB,256kB,0.6107,1.6376,0.1793,0.0334,53.8048,385321293
conv,O3,1,32kB,256kB,4.1898,0.2387,0.7959,2.7625,58.0889,56159451
conv,TIMING,1,32kB,256kB,0.6107,1.6376,0.1765,0.0334,54.1441,385321293
conv,O3,1,64kB,256kB,4.1898,0.2387,0.7658,2.7587,60.0,56159451
conv,TIMING,1,64kB,256kB,0.6107,1.6374,0.1517,0.0334,55.959,385268346
conv,O3,1,8kB,256kB,4.1898,0.2387,0.92,2.7654,52.0149,56159451
conv,TIMING,1,8kB,256kB,0.6091,1.6417,0.2467,0.0334,48.4287,386276337
matmul,O3,1,16kB,256kB,2.9394,0.3402,14.8482,0.1013,1.7272,215944506
matmul,TIMING,1,16kB,256kB,0.5879,1.701,6.2,0.014,1.2795,1079731854
matmul,O3,1,32kB,256kB,3.0828,0.3244,0.4508,0.1021,66.4144,205898229
matmul,TIMING,1,32kB,256kB,0.6786,1.4736,0.051,0.014,38.6405,935364033
matmul,O3,1,64kB,256kB,3.0829,0.3244,0.4341,0.1019,80.4654,205891902
matmul,TIMING,1,64kB,256kB,0.6788,1.4733,0.0412,0.014,47.5509,935146584
matmul,O3,1,8kB,256kB,1.6592,0.6027,60.6188,0.0973,0.4435,382559391
matmul,TIMING,1,8kB,256kB,0.599,1.6695,5.3222,0.014,0.2155,1059720219
memcopy,O3,1,16kB,256kB,0.525,1.9049,64.5147,18.073,92.67,6323972364
memcopy,TIMING,1,16kB,256kB,0.394,2.5383,1.3377,0.0027,77.0288,8426856708
memcopy,O3,1,32kB,256kB,0.5243,1.9075,64.5189,17.981,92.6445,6332539455
memcopy,TIMING,1,32kB,256kB,0.3941,2.5375,1.3379,0.0027,77.0337,8424200367
memcopy,O3,1,64kB,256kB,0.5241,1.9081,64.5198,17.9283,92.6694,6334512813
memcopy,TIMING,1,64kB,256kB,0.3942,2.5367,1.3352,0.0027,77.0784,8421338232
memcopy,O3,1,8kB,256kB,0.5243,1.9073,64.535,17.8626,92.6255,6331894434
memcopy,TIMING,1,8kB,256kB,0.394,2.5383,1.338,0.0027,77.0257,8426857041
